15	12	E	-5514212.082796044	152
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	1.0
probinit	15	0.0
transitionprobs	14	15	0.004448721834514124
transitionprobs	15	1	0.0
transitionprobs	15	2	0.0
transitionprobs	15	3	0.0
transitionprobs	15	4	0.0012773430720470912
transitionprobs	15	5	1.5745969994958632E-5
transitionprobs	15	6	3.967548712713099E-4
transitionprobs	15	7	0.0
transitionprobs	15	8	0.0
transitionprobs	15	9	0.0
transitionprobs	15	10	0.0
transitionprobs	15	11	2.127554648764932E-6
transitionprobs	15	12	2.491656646043441E-5
transitionprobs	15	13	4.008049391690591E-5
transitionprobs	15	14	0.11135333287771984
transitionprobs	15	15	0.8868896985939406
emissionprobs	1	0	H2AFZ	0	0.8011749055411284
emissionprobs	1	0	H2AFZ	1	0.19882509445887156
emissionprobs	1	1	H3K27ac	0	0.011349774261662622
emissionprobs	1	1	H3K27ac	1	0.9886502257383374
emissionprobs	1	2	H3K27me3	0	1.0
emissionprobs	1	2	H3K27me3	1	0.0
emissionprobs	1	3	H3K36me3	0	0.9798929484389002
emissionprobs	1	3	H3K36me3	1	0.020107051561099765
emissionprobs	1	4	H3K4me1	0	1.0
emissionprobs	1	4	H3K4me1	1	1.1201679019094916E-67
emissionprobs	1	5	H3K4me2	0	0.003380418160820273
emissionprobs	1	5	H3K4me2	1	0.9966195818391798
emissionprobs	1	6	H3K4me3	0	4.6515129825400344E-4
emissionprobs	1	6	H3K4me3	1	0.999534848701746
emissionprobs	1	7	H3K79me2	0	0.43753449157547003
emissionprobs	1	7	H3K79me2	1	0.5624655084245299
emissionprobs	1	8	H3K9ac	0	0.0025263745982086055
emissionprobs	1	8	H3K9ac	1	0.9974736254017913
emissionprobs	1	9	H3K9me2	0	1.0
emissionprobs	1	9	H3K9me2	1	0.0
emissionprobs	1	10	H3K9me3	0	0.999828273266259
emissionprobs	1	10	H3K9me3	1	1.7172673374097228E-4
emissionprobs	1	11	H4K20me1	0	0.9877467480607496
emissionprobs	1	11	H4K20me1	1	0.01225325193925042
emissionprobs	2	0	H2AFZ	0	0.7272899944727074
emissionprobs	2	0	H2AFZ	1	0.2727100055272926
emissionprobs	2	1	H3K27ac	0	2.2138273945671216E-35
emissionprobs	2	1	H3K27ac	1	1.0
emissionprobs	2	2	H3K27me3	0	0.9998167867725862
emissionprobs	2	2	H3K27me3	1	1.8321322741362664E-4
emissionprobs	2	3	H3K36me3	0	0.9563621279088785
emissionprobs	2	3	H3K36me3	1	0.04363787209112145
emissionprobs	2	4	H3K4me1	0	2.4605075917312204E-4
emissionprobs	2	4	H3K4me1	1	0.999753949240827
emissionprobs	2	5	H3K4me2	0	2.967263954865365E-65
emissionprobs	2	5	H3K4me2	1	1.0
emissionprobs	2	6	H3K4me3	0	4.318554829549027E-6
emissionprobs	2	6	H3K4me3	1	0.9999956814451705
emissionprobs	2	7	H3K79me2	0	0.6630652365825832
emissionprobs	2	7	H3K79me2	1	0.3369347634174168
emissionprobs	2	8	H3K9ac	0	0.05861858521563914
emissionprobs	2	8	H3K9ac	1	0.9413814147843609
emissionprobs	2	9	H3K9me2	0	0.9997467676514208
emissionprobs	2	9	H3K9me2	1	2.532323485791787E-4
emissionprobs	2	10	H3K9me3	0	0.9980388616086184
emissionprobs	2	10	H3K9me3	1	0.001961138391381526
emissionprobs	2	11	H4K20me1	0	0.9633550391547098
emissionprobs	2	11	H4K20me1	1	0.03664496084529019
emissionprobs	3	0	H2AFZ	0	0.727469207479738
emissionprobs	3	0	H2AFZ	1	0.2725307925202621
emissionprobs	3	1	H3K27ac	0	1.0
emissionprobs	3	1	H3K27ac	1	1.0178285323268994E-122
emissionprobs	3	2	H3K27me3	0	0.991737230631852
emissionprobs	3	2	H3K27me3	1	0.008262769368147963
emissionprobs	3	3	H3K36me3	0	0.9805590064350403
emissionprobs	3	3	H3K36me3	1	0.019440993564959548
emissionprobs	3	4	H3K4me1	0	0.12338141616066259
emissionprobs	3	4	H3K4me1	1	0.8766185838393374
emissionprobs	3	5	H3K4me2	0	6.471722433097823E-4
emissionprobs	3	5	H3K4me2	1	0.9993528277566902
emissionprobs	3	6	H3K4me3	0	0.034722185848379564
emissionprobs	3	6	H3K4me3	1	0.9652778141516205
emissionprobs	3	7	H3K79me2	0	0.6944216842127703
emissionprobs	3	7	H3K79me2	1	0.3055783157872297
emissionprobs	3	8	H3K9ac	0	0.2504947989286756
emissionprobs	3	8	H3K9ac	1	0.7495052010713245
emissionprobs	3	9	H3K9me2	0	0.9996775553752083
emissionprobs	3	9	H3K9me2	1	3.224446247917738E-4
emissionprobs	3	10	H3K9me3	0	0.9992056088889786
emissionprobs	3	10	H3K9me3	1	7.943911110214293E-4
emissionprobs	3	11	H4K20me1	0	0.9806547301573595
emissionprobs	3	11	H4K20me1	1	0.01934526984264049
emissionprobs	4	0	H2AFZ	0	0.7015705979410913
emissionprobs	4	0	H2AFZ	1	0.2984294020589086
emissionprobs	4	1	H3K27ac	0	0.9824684718769986
emissionprobs	4	1	H3K27ac	1	0.017531528123001478
emissionprobs	4	2	H3K27me3	0	0.8833575745800706
emissionprobs	4	2	H3K27me3	1	0.11664242541992943
emissionprobs	4	3	H3K36me3	0	0.9996624745837801
emissionprobs	4	3	H3K36me3	1	3.3752541621985966E-4
emissionprobs	4	4	H3K4me1	0	0.7334703223205598
emissionprobs	4	4	H3K4me1	1	0.2665296776794402
emissionprobs	4	5	H3K4me2	0	0.058029602864830665
emissionprobs	4	5	H3K4me2	1	0.9419703971351693
emissionprobs	4	6	H3K4me3	0	0.7737118966183413
emissionprobs	4	6	H3K4me3	1	0.2262881033816587
emissionprobs	4	7	H3K79me2	0	0.9951600148502037
emissionprobs	4	7	H3K79me2	1	0.0048399851497963504
emissionprobs	4	8	H3K9ac	0	0.98244059565161
emissionprobs	4	8	H3K9ac	1	0.017559404348389963
emissionprobs	4	9	H3K9me2	0	0.9997887498562208
emissionprobs	4	9	H3K9me2	1	2.1125014377926167E-4
emissionprobs	4	10	H3K9me3	0	0.9955702602356957
emissionprobs	4	10	H3K9me3	1	0.004429739764304284
emissionprobs	4	11	H4K20me1	0	0.9995964776179409
emissionprobs	4	11	H4K20me1	1	4.0352238205903964E-4
emissionprobs	5	0	H2AFZ	0	0.007713748529565264
emissionprobs	5	0	H2AFZ	1	0.9922862514704347
emissionprobs	5	1	H3K27ac	0	0.836988175807548
emissionprobs	5	1	H3K27ac	1	0.16301182419245205
emissionprobs	5	2	H3K27me3	0	1.0
emissionprobs	5	2	H3K27me3	1	2.2599067941659407E-194
emissionprobs	5	3	H3K36me3	0	0.9993894462956681
emissionprobs	5	3	H3K36me3	1	6.105537043320353E-4
emissionprobs	5	4	H3K4me1	0	0.011790654970570538
emissionprobs	5	4	H3K4me1	1	0.9882093450294294
emissionprobs	5	5	H3K4me2	0	0.2501715757580268
emissionprobs	5	5	H3K4me2	1	0.7498284242419733
emissionprobs	5	6	H3K4me3	0	0.861277107041671
emissionprobs	5	6	H3K4me3	1	0.13872289295832885
emissionprobs	5	7	H3K79me2	0	1.0
emissionprobs	5	7	H3K79me2	1	2.322578578035576E-262
emissionprobs	5	8	H3K9ac	0	0.9591246180054213
emissionprobs	5	8	H3K9ac	1	0.0408753819945787
emissionprobs	5	9	H3K9me2	0	0.9982027726958639
emissionprobs	5	9	H3K9me2	1	0.00179722730413612
emissionprobs	5	10	H3K9me3	0	0.9988054897117182
emissionprobs	5	10	H3K9me3	1	0.0011945102882818712
emissionprobs	5	11	H4K20me1	0	0.9999571287397871
emissionprobs	5	11	H4K20me1	1	4.2871260212740607E-5
emissionprobs	6	0	H2AFZ	0	1.0
emissionprobs	6	0	H2AFZ	1	1.890726360579476E-183
emissionprobs	6	1	H3K27ac	0	1.0
emissionprobs	6	1	H3K27ac	1	2.259344001822713E-85
emissionprobs	6	2	H3K27me3	0	0.9989696528952596
emissionprobs	6	2	H3K27me3	1	0.001030347104740433
emissionprobs	6	3	H3K36me3	0	0.9964986584172927
emissionprobs	6	3	H3K36me3	1	0.0035013415827073106
emissionprobs	6	4	H3K4me1	0	0.014051438640601894
emissionprobs	6	4	H3K4me1	1	0.9859485613593981
emissionprobs	6	5	H3K4me2	0	0.6245035632490883
emissionprobs	6	5	H3K4me2	1	0.37549643675091177
emissionprobs	6	6	H3K4me3	0	1.0
emissionprobs	6	6	H3K4me3	1	1.8794244832721672E-165
emissionprobs	6	7	H3K79me2	0	1.0
emissionprobs	6	7	H3K79me2	1	7.899446884393223E-243
emissionprobs	6	8	H3K9ac	0	0.9999228885060578
emissionprobs	6	8	H3K9ac	1	7.711149394228238E-5
emissionprobs	6	9	H3K9me2	0	0.9994991213386654
emissionprobs	6	9	H3K9me2	1	5.008786613345268E-4
emissionprobs	6	10	H3K9me3	0	0.9984179009025235
emissionprobs	6	10	H3K9me3	1	0.0015820990974764683
emissionprobs	6	11	H4K20me1	0	0.9990515366615977
emissionprobs	6	11	H4K20me1	1	9.484633384022285E-4
emissionprobs	7	0	H2AFZ	0	0.9224173122348839
emissionprobs	7	0	H2AFZ	1	0.07758268776511613
emissionprobs	7	1	H3K27ac	0	0.10786385716127635
emissionprobs	7	1	H3K27ac	1	0.8921361428387237
emissionprobs	7	2	H3K27me3	0	0.9999964321123539
emissionprobs	7	2	H3K27me3	1	3.5678876459980387E-6
emissionprobs	7	3	H3K36me3	0	0.9285834338474379
emissionprobs	7	3	H3K36me3	1	0.07141656615256216
emissionprobs	7	4	H3K4me1	0	0.0157548878593396
emissionprobs	7	4	H3K4me1	1	0.9842451121406605
emissionprobs	7	5	H3K4me2	0	0.1744329729533569
emissionprobs	7	5	H3K4me2	1	0.8255670270466431
emissionprobs	7	6	H3K4me3	0	0.9999584534147563
emissionprobs	7	6	H3K4me3	1	4.1546585243717676E-5
emissionprobs	7	7	H3K79me2	0	0.8217529160204243
emissionprobs	7	7	H3K79me2	1	0.17824708397957564
emissionprobs	7	8	H3K9ac	0	0.43727023457532216
emissionprobs	7	8	H3K9ac	1	0.5627297654246779
emissionprobs	7	9	H3K9me2	0	0.9999550083062319
emissionprobs	7	9	H3K9me2	1	4.499169376806325E-5
emissionprobs	7	10	H3K9me3	0	0.9941017942693732
emissionprobs	7	10	H3K9me3	1	0.005898205730626806
emissionprobs	7	11	H4K20me1	0	0.9920584022303048
emissionprobs	7	11	H4K20me1	1	0.007941597769695167
emissionprobs	8	0	H2AFZ	0	1.0
emissionprobs	8	0	H2AFZ	1	2.1360219284600953E-264
emissionprobs	8	1	H3K27ac	0	0.7358325695366557
emissionprobs	8	1	H3K27ac	1	0.26416743046334434
emissionprobs	8	2	H3K27me3	0	0.9998823218979843
emissionprobs	8	2	H3K27me3	1	1.1767810201571302E-4
emissionprobs	8	3	H3K36me3	0	0.821600281914163
emissionprobs	8	3	H3K36me3	1	0.1783997180858369
emissionprobs	8	4	H3K4me1	0	0.11269577731110621
emissionprobs	8	4	H3K4me1	1	0.8873042226888938
emissionprobs	8	5	H3K4me2	0	0.5946810000547939
emissionprobs	8	5	H3K4me2	1	0.4053189999452062
emissionprobs	8	6	H3K4me3	0	0.9947314452229916
emissionprobs	8	6	H3K4me3	1	0.005268554777008285
emissionprobs	8	7	H3K79me2	0	0.01139151108489394
emissionprobs	8	7	H3K79me2	1	0.988608488915106
emissionprobs	8	8	H3K9ac	0	0.9384457458223501
emissionprobs	8	8	H3K9ac	1	0.061554254177650015
emissionprobs	8	9	H3K9me2	0	0.9996928452779823
emissionprobs	8	9	H3K9me2	1	3.0715472201778564E-4
emissionprobs	8	10	H3K9me3	0	0.9969113727569887
emissionprobs	8	10	H3K9me3	1	0.0030886272430113615
emissionprobs	8	11	H4K20me1	0	0.833576338609464
emissionprobs	8	11	H4K20me1	1	0.16642366139053605
emissionprobs	9	0	H2AFZ	0	0.9999779209135453
emissionprobs	9	0	H2AFZ	1	2.2079086454660322E-5
emissionprobs	9	1	H3K27ac	0	1.0
emissionprobs	9	1	H3K27ac	1	2.305785491584763E-99
emissionprobs	9	2	H3K27me3	0	0.9998714462725393
emissionprobs	9	2	H3K27me3	1	1.2855372746073976E-4
emissionprobs	9	3	H3K36me3	0	1.0
emissionprobs	9	3	H3K36me3	1	3.7322156441473984E-240
emissionprobs	9	4	H3K4me1	0	1.0
emissionprobs	9	4	H3K4me1	1	7.827066593951954E-231
emissionprobs	9	5	H3K4me2	0	1.0
emissionprobs	9	5	H3K4me2	1	2.5931535101578046E-146
emissionprobs	9	6	H3K4me3	0	1.0
emissionprobs	9	6	H3K4me3	1	1.445947127737079E-179
emissionprobs	9	7	H3K79me2	0	0.060220418440231786
emissionprobs	9	7	H3K79me2	1	0.9397795815597682
emissionprobs	9	8	H3K9ac	0	1.0
emissionprobs	9	8	H3K9ac	1	1.0547529794082778E-283
emissionprobs	9	9	H3K9me2	0	0.9995907188164646
emissionprobs	9	9	H3K9me2	1	4.092811835354547E-4
emissionprobs	9	10	H3K9me3	0	0.9957643598389601
emissionprobs	9	10	H3K9me3	1	0.00423564016104
emissionprobs	9	11	H4K20me1	0	0.9213840328254982
emissionprobs	9	11	H4K20me1	1	0.0786159671745019
emissionprobs	10	0	H2AFZ	0	1.0
emissionprobs	10	0	H2AFZ	1	0.0
emissionprobs	10	1	H3K27ac	0	0.9101216215906792
emissionprobs	10	1	H3K27ac	1	0.08987837840932077
emissionprobs	10	2	H3K27me3	0	1.0
emissionprobs	10	2	H3K27me3	1	0.0
emissionprobs	10	3	H3K36me3	0	0.029634481836058817
emissionprobs	10	3	H3K36me3	1	0.9703655181639412
emissionprobs	10	4	H3K4me1	0	1.0
emissionprobs	10	4	H3K4me1	1	6.718260960880144E-33
emissionprobs	10	5	H3K4me2	0	1.0
emissionprobs	10	5	H3K4me2	1	1.5030008414111036E-58
emissionprobs	10	6	H3K4me3	0	0.9999898452748841
emissionprobs	10	6	H3K4me3	1	1.0154725115950482E-5
emissionprobs	10	7	H3K79me2	0	0.008956180405836312
emissionprobs	10	7	H3K79me2	1	0.9910438195941637
emissionprobs	10	8	H3K9ac	0	1.0
emissionprobs	10	8	H3K9ac	1	1.5818058164437213E-79
emissionprobs	10	9	H3K9me2	0	0.9999042268570754
emissionprobs	10	9	H3K9me2	1	9.577314292460369E-5
